group_key,total,variants,unique_msgs,top_members,sizes,colors,units,merged_stems
профил стенов,44,10,44,профиль стеновой(25) | профиль стеновой 135 г/м(6) | стеновой профиль(5) | профиль стеновой 130г(2) | 6м стеновой профиль(1),"135:6, 130:2, 6:1, 145:1, 2:1",,"м:38, —:5, шт:1",
ваг тройн,43,12,42,ваг тройных(23) | ваго тройная(5) | ваго тройн(4) | вага тройной(2) | ваги тройных(2),"100:1, 12:1, 20:1",,"шт:30, —:10, пачка:3",
бур,43,20,42,бур 6*110(6) | бур 6(5) | бур 6мм(5) | бур(3) | бур 6/110(3),"6:13, 6*110:7, 6х110:5, 6*160:3, 6/110:3, 110:1, 110/6:1, 160/6:1",,"шт:32, —:10, пара:1",
ам заглушк,43,10,43,заглушки для ам(24) | заглушки ам1(7) | заглушки на ам1(3) | заглушки ам(2) | заглушки для ам1(2),"1:16, 2:1, 01:1",черная:1,"шт:26, —:7, компл:7",
мебельн уголок,43,29,40,уголок мебельный 12-15 см(5) | уголок мебельный 100/125(4) | уголок мебельный 15-20 см(3) | мебельный уголок 12 – 15 см(2) | уголок мебельный 12 – 15 см(2),"15:16, 12:13, 20:5, 100/125:4, 125:4, 125*150:3, 150:3, 75*100:2",белый:1,"шт:22, пачка:11, уп:6",
диффузор,43,16,42,диффузор 100мм(16) | диффузор 48мм(8) | диффузор 125мм(4) | диффузор(2) | диффузор 50мм(2),"100:22, 48:8, 125:6, 150:2, 50:2",белый:1,"—:22, шт:21","дифузор, диффузор"
парящ фла,43,16,41,парящий флай 02 белый(12) | парящий флай 01 черный(5) | парящий черный флай 2(5) | парящий флай 01(3) | парящий флай 02(3),"02:22, 01:11, 2:6, 03:2","черный:17, белый:16, чёрный:2","м:34, —:8, палка:1",
вентилятор закладн фанер,42,12,40,закладная под вентилятор (фанера)(24) | закладная под вентилятор фанера(8) | 1 закладная под вентилятор 110мм фанера(1) | закладная вентилятор фанера(1) | закладная из фанеры под вентилятор(1),"110:4, 125:2, 1:1, 120:1",,"шт:24, —:18",
стяжк,42,7,42,стяжки(35) | стяжек(2) | 1 пачка стяжек 15(1) | стяжка(1) | стяжки 200х2.5(1),"1:1, 15:1, 200х2:1, 5:1, 6:1","белый:1, мат:1","уп:16, пачка:15, —:8","стяжек, стяжк, утяжк"
кольц терм,42,35,28,термо кольцо 30(3) | термо кольцо 90(3) | термо кольца 90(2) | термо кольцо(2) | термо кольцо 85(2),"90:6, 60:4, 110:3, 30:3, 80:2, 100:2, 40:2, 65:2",,"шт:39, —:3",
конус труб,42,29,31,труба (27) + конусы(6) | труба (32) + конус(3) | труба (27) + конус(3) | труба (22) + конусы(2) | конус к трубе 27(2),"27:23, 32:9, 22:6, 28:2, 21:2",,"шт:36, —:6",
потолочн профил,42,3,42,профиль потолочный(23) | потолочный профиль(18) | профиль h потолочный(1),,,"м:38, палка:2, шт:2",
товар,42,2,42,🧾 *товар*:(30) | товар(12),,,"—:30, м:10, шт:2",
ам карниз,41,26,41,карниз ам1(5) | карниз ам1 белый(5) | карниз ам1 черный(4) | ам1 карниз(2) | карниз ам-1(2),"1:36, 2:7, 01:3, 3,2:2, 4:1, 3.2:1","белый:11, черный:9, чёрный:5, черного:1","м:25, шт:11, —:4",
вставк разделител,41,8,39,вставка в разделитель(28) | вставку в разделитель(4) | вставка для разделителя(3) | вставки в разделитель(2) | вставка в разделитель белая(1),,"белая:1, чёрная:1","м:22, —:17, шт:1",
платформ универсальн,41,13,40,платформа универсальная(16) | платформа универсальная 60-110(12) | платформ универсальных(3) | платформа универсальн 65-105(1) | платформа универсальная 55-105(1),"110:14, 60:13, 105:3, 55:2, 65:1, 60*110:1, 60110:1, 100:1",,"шт:38, —:3",
закладн светильник,40,22,40,закладная под светильник 90мм(7) | закладная под светильник 90(4) | закладная под светильник(3) | закладная под светильники 90мм(3) | закладная для светильника 90(2),"90:23, 110:4, 60:3, 125:1, 80:1, 120:1, 155:1, 145:1",,шт:40,
полотн премиум,40,30,29,"полотна мат премиум(7) | полотно мат премиум(2) | полотно 280*15 премиум(2) | полотно белый мат премиум 3,25×2,24(2) | полотно премиум белый мат(2)","280*15:2, 25×2:2, 3:2, 24:2, 130×188:1, 170×207:1, 207×167:1, 286×359:1","мат:31, белый:13, матовый:2, матовое:1, белое:1","—:21, шт:19",
гарпун кд,40,15,40,гарпун кд2(18) | гарпун кд 2(5) | гарпун кд(2) | гарпун чёрный кд2(2) | чёрный гарпун кд 3(2),"2:31, 3:6","чёрный:8, черный:3, черного:1","—:32, м:7, м.п.:1",
ламп нейтральн,39,6,39,лампа нейтральная(34) | ламп нейтральных(1) | лампа нейтральная 10w(1) | лампа нейтральная 10в(1) | лампа нейтральный(1),10:2,,"—:23, шт:16",
парящ рассеивател,39,10,36,рассеиватель в парящий(15) | парящий с рассеивателем(14) | рассеивателя в парящий(3) | парящий белый и рассеиватель(1) | парящий белый с рассеивателем(1),,"белый:2, черный:2","м:34, —:3, шт:2",
закладны светильник,39,23,39,закладные под светильники(8) | закладные под светильники 55-105(4) | закладные под светильники 90мм(3) | закладные под светильник(2) | закладные под светильники (90)(2),"90:9, 60:6, 55:6, 120:4, 105:4, 125:3, 115:3, 110:2",,"шт:36, —:3",
блок вт,38,32,29,блок 36вт(3) | блок 60 вт(3) | блок 150вт(2) | блока 24вт(2) | + блок 100вт 24в(1),"24:21, 60:10, 100:8, 150:6, 200:3, 36:3, 350:1, 40:1",,"шт:27, —:11",
eleganz диодк,38,9,33,"диодка eleganz 24v 24w 4500к(8) | диодка eleganz 24v 9,6w 3000к(8) | диодка eleganz 24v 14,4w 4500к(5) | диодка eleganz 24v 14,4w 3000к(5) | диодка eleganz 24v 24w 6000к(5)","24:38, 3000:17, 4500:13, 14,4:12, 9,6:10, 6000:8",,"—:34, м:4",
ввг провод,38,12,38,"провод ввг(16) | провод ввг 2/1,5(7) | провода ввг(4) | провод ввг 2х1,5(2) | провод ввг 2х1.5(2)","5:14, 2/1:9, 2х1:4, 2*1:2, 2:2, 1,5:1, 1.5:1, 2/15:1",,"м:37, —:1",
блок ват,37,28,23,блок 100 ват(4) | блок 300 ват(4) | блок 100ват(2) | блок 60 ват(2) | блок 60ват(2),"60:9, 100:6, 12:5, 250:5, 300:5, 200:4, 150:3, 24:3",,"шт:36, —:1",
классик полотн,37,27,29,полотно мат классик(6) | полотна мат классик(4) | полотно белый мат классик(2) | полотно мат классик 301*559(2) | белый матовый классик полотно(1),"301*559:2, 100/289:1, 151/251:1, 282/266:1, 400/404:1, 150*70:1, 303:1, 2.84:1","мат:33, белый:10, матовый:3","—:21, шт:16",
стопор,36,8,36,стопора(14) | стопоров(7) | стопоры(7) | стопор(4) | 22. стопор(1),"22:1, 01:1","белый:1, черный:1","шт:30, —:3, пачка:2",
отрез,35,32,14,"отрез 3,1 х 3,35(3) | отрез 0,3 х 5,1(2) | 4 отрезка по 2.5 метра(1) | отрезка 2.5 метра черный(1) | отрезка по 2.5 метра(1)","2.5:3, 0,3:3, 3,1:3, 3,35:3, 4:2, 5,1:2, 2:2, 300×400:2","белый:17, мат:9, сатин:9, черный:1, глянец:1","—:23, шт:12","отрез, отрезк"
гранит коронк,35,6,35,коронка по граниту(22) | коронка для гранита(7) | коронки по граниту(3) | коронка гранит(1) | коронки для гранита(1),,,"шт:32, —:3",
парящ рассеивател фла,35,16,34,"парящий флай 2.0 с рассеивателем(18) | парящий флай 2,0 с рассеивателем(2) | парящий флай02 черный + рассеиватель(2) | парящий флай 02 + рассеиватель(1) | парящий флай 02 белый + рассеиватель(1)","2.0:18, 02:10, 04:2, 2,0:2, 03:1","черный:6, белый:2, чёрный:1","—:19, м:16",
вставк периметр профил,35,11,32,профиль вставка по периметру(11) | профиль и вставка по периметру(11) | профиль и вставку по периметру(4) | профиль+вставка по периметру(2) | профиль + вставка по периметру(1),135:1,черная:1,"—:31, шт:3, м:1",
профил тяжел,35,3,35,профиль тяжелый(33) | профиль h тяжелый(1) | профиль тяжел(1),,,"м:31, —:3, палка:1",
закладны люстр фанер,34,12,33,закладные под люстру фанера(17) | закладные из фанеры под люстру(4) | закладные люстра фанера(2) | закладные под люстры 280/280 фанера(2) | закладные под люстры фанера(2),"280/280:2, 7:1, 280:1, 200:1, 40*40:1",,"шт:29, —:5",
заглушк лин свет,34,4,33,заглушки для свет линии(31) | заглушки для свет линии 30 мм(1) | заглушки на свет лин(1) | заглушки свет линии(1),30:1,,"—:19, шт:15",
подвес прям,34,14,34,"подвес прямой(14) | подвес прямой 0.9 мм(3) | подвес прямой 0,7 мм(2) | подвес прямой 0,7мм-15шт(2) | подвес прямой 0.07x300 мм(2)","0.9:5, 0,7:4, 0.07:3, 300:3, 15:2, 0,9:2, 30:2, 09/300:1",,"шт:32, —:2",
универсалк,33,14,32,универсалки(17) | универсалок(3) | универсалки 60-110(2) | 10. универсалки(1) | 3. универсалки(1),"60:4, 110:3, 55:3, 10:1, 3:1, 105:1, 115:1, 60/110:1",,"шт:27, —:6","угиверсалк, уневерсалк, универсалк, универсалок"
угл,33,22,32,углы 100х125(8) | углы(3) | углов(2) | углы 100 на 125(2) | 20 шт углы 100 на(1),"100х125:8, 100:6, 125:3, 20:1, 6:1, 3:1, 100*125:1, 12/15:1",,"шт:28, —:4, уп:1",
кронштейн монтажн,33,9,18,кронштейн монтажный 200х250(8) | кронштейн монтажный 100х125(8) | кронштейн монтажный 150х200(5) | кронштейн монтажный 75х100(4) | кронштейн монтажный 125х150(2),"200х250:8, 100х125:8, 150х200:5, 75х100:4, 125х150:2, 250х300:2, 300х350:2, 150*200:1",,"шт:31, —:1, уп:1",
алюмин профил,33,2,32,профиль алюминий(32) | профиль алюмин(1),,,"—:22, м:11",
бауф полотн,33,28,26,полотно бауф 205(3) | полотна бауф(2) | полотна бауф 205(2) | полотна бауф 270(2) | бауф 205 полотно 338х302(1),"205:15, 270:8, 230:5, 3:4, 22:2, 00:2, 338х302:1, 129х183:1","мат:5, белый:4, матовый:3, глянец:1","—:18, шт:15",
